StartTime,EndTime,Duration(s),StartTime(datenum),EndTime(datenum),LargeConc(cc),SmallConc(cc),MeanDiameter(um)
02-Jun-2022 15:51:28,02-Jun-2022 15:51:35,8,738674.660745171,738674.660826235,65.4297856487021,196.992150655718,13.2183406140718
02-Jun-2022 15:52:08,02-Jun-2022 15:52:10,3,738674.661208134,738674.661231328,64.8878672757889,24.4215060586365,16.7761152578764
02-Jun-2022 15:56:23,02-Jun-2022 15:56:25,3,738674.664159523,738674.664182671,82.1750847757557,16.2956039791458,18.9185303305639
02-Jun-2022 15:58:07,02-Jun-2022 15:58:12,6,738674.665363317,738674.665421143,69.867883745688,63.0761778094002,19.2093438326786
02-Jun-2022 15:58:22,02-Jun-2022 15:58:28,7,738674.665536838,738674.665606328,70.5015967448139,46.6988348144143,20.0192311675324
02-Jun-2022 16:01:46,02-Jun-2022 16:01:49,4,738674.667897994,738674.667932717,69.3082526097162,60.0295072100276,14.6837051931418
02-Jun-2022 16:05:24,02-Jun-2022 16:05:34,11,738674.670421097,738674.670536883,93.6963097410808,156.136909603254,13.7746116732649
02-Jun-2022 16:19:13,02-Jun-2022 16:19:16,4,738674.68001605,738674.680050772,81.5313020905552,82.3995985349055,15.0379444870262
02-Jun-2022 16:43:41,02-Jun-2022 16:44:14,34,738674.697006836,738674.697388735,77.2172185268949,15.779723296881,25.4628280636542
02-Jun-2022 17:08:21,02-Jun-2022 17:08:24,4,738674.714136601,738674.714171323,60.6314656980965,339.070103687131,12.9669234112276
02-Jun-2022 17:53:42,02-Jun-2022 17:53:47,6,738674.745629612,738674.745687527,54.5846077176807,83.8104793704177,22.1734315877628
02-Jun-2022 18:00:43,02-Jun-2022 18:00:45,3,738674.750502297,738674.75052549,62.5731482280913,49.5411734575275,22.8890433511225
