StartTime,EndTime,Duration_s,StartTime_datenum,EndTime_datenum,LargeConc_cc,SmallConc_cc,MeanDiameter_um,AverageLWC_g_m3
02-Jun-2022 15:51:27,02-Jun-2022 15:51:36,10,738674.660733597,738674.660837764,55.6228425889631,201.184282716644,13.0555934692454,0.418325874968472
02-Jun-2022 15:52:08,02-Jun-2022 15:52:12,5,738674.661208134,738674.661254521,54.9406171916692,33.8963988682907,16.0888784069553,0.372711845865444
02-Jun-2022 15:56:21,02-Jun-2022 15:56:25,5,738674.66413642,738674.664182671,64.9773036134245,20.4771748060892,18.1584365874132,0.555714771210662
02-Jun-2022 15:58:06,02-Jun-2022 15:58:12,7,738674.665351698,738674.665421143,62.3922885786931,62.9418589287252,19.1543481222205,0.587789310135774
02-Jun-2022 15:58:19,02-Jun-2022 15:58:30,12,738674.665502161,738674.665629431,55.8334585257154,45.0717055993374,19.6938537211154,0.568171952441667
02-Jun-2022 16:01:45,02-Jun-2022 16:01:49,5,738674.66788642,738674.667932717,61.2549637375048,62.6371308258166,14.6566908224111,0.399313670627999
02-Jun-2022 16:05:22,02-Jun-2022 16:05:35,14,738674.670397994,738674.670548457,79.9663422956343,151.862163318619,13.6944816550821,0.519071864995394
02-Jun-2022 16:19:13,02-Jun-2022 16:19:18,6,738674.68001605,738674.680073966,65.5963009618385,70.8854758238466,15.0021534420644,0.408102947604123
02-Jun-2022 16:19:20,02-Jun-2022 16:19:22,3,738674.680097069,738674.680120262,58.6245716570802,75.0095161274862,16.7934806145438,0.424904946827508
02-Jun-2022 16:43:41,02-Jun-2022 16:44:14,34,738674.697006836,738674.697388735,77.2172185268949,15.779723296881,25.4628280636542,1.4312785815719
02-Jun-2022 17:07:59,02-Jun-2022 17:08:01,3,738674.713881972,738674.713905075,62.1602833281895,148.322634874321,13.4925565487741,0.418664780766227
02-Jun-2022 18:00:42,02-Jun-2022 18:00:45,4,738674.750490768,738674.75052549,52.3572885147559,47.9639062443368,22.8982943830999,0.62761631423139
