StartTime,EndTime,Duration(s),StartTime(datenum),EndTime(datenum),LargeConc(cc),SmallConc(cc),MeanDiameter(um)
02-Jun-2022 15:51:27,02-Jun-2022 15:51:35,9,738674.660733597,738674.660826235,60.3396204293454,202.967607256171,13.1289766043148
02-Jun-2022 15:52:08,02-Jun-2022 15:52:12,5,738674.661208134,738674.661254521,54.9406171916692,33.8963988682907,16.0888784069553
02-Jun-2022 15:56:21,02-Jun-2022 15:56:25,5,738674.66413642,738674.664182671,64.9773036134245,20.4771748060892,18.1584365874132
02-Jun-2022 15:58:07,02-Jun-2022 15:58:12,6,738674.665363317,738674.665421143,69.867883745688,63.0761778094002,19.2093438326786
02-Jun-2022 15:58:19,02-Jun-2022 15:58:28,10,738674.665502161,738674.665606328,63.1853864675943,42.5736331057857,19.7171835581477
02-Jun-2022 16:01:45,02-Jun-2022 16:01:49,5,738674.66788642,738674.667932717,61.2549637375048,62.6371308258166,14.6566908224111
02-Jun-2022 16:05:23,02-Jun-2022 16:05:35,13,738674.670409568,738674.670548457,84.9810364294679,156.048267177199,13.7180111699524
02-Jun-2022 16:19:13,02-Jun-2022 16:19:17,5,738674.68001605,738674.680062346,72.9559108295194,79.9390405077121,15.0316793476208
02-Jun-2022 16:43:41,02-Jun-2022 16:44:14,34,738674.697006836,738674.697388735,77.2172185268949,15.779723296881,25.4628280636542
02-Jun-2022 17:07:59,02-Jun-2022 17:08:01,3,738674.713881972,738674.713905075,62.1602833281895,148.322634874321,13.4925565487741
02-Jun-2022 18:00:42,02-Jun-2022 18:00:45,4,738674.750490768,738674.75052549,52.3572885147559,47.9639062443368,22.8982943830999
