StartTime,EndTime,Duration(s),StartTime(datenum),EndTime(datenum),LargeConc(cc),SmallConc(cc),MeanDiameter(um)
02-Jun-2022 15:51:28,02-Jun-2022 15:51:34,7,738674.660745171,738674.660814661,68.2950431118657,200.021584339561,13.1815781176067
02-Jun-2022 15:58:22,02-Jun-2022 15:58:28,7,738674.665536838,738674.665606328,70.5015967448139,46.6988348144143,20.0192311675324
02-Jun-2022 16:05:24,02-Jun-2022 16:05:33,10,738674.670421097,738674.670525309,98.6187902466165,154.83315015843,13.8099409514258
02-Jun-2022 16:43:41,02-Jun-2022 16:44:14,34,738674.697006836,738674.697388735,77.2172185268949,15.779723296881,25.4628280636542
